fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.65112,0.00751,0.0134,0.95505,0.00062,2.3446,0.94837,5.14964,0.26125,1.48407,0.01532,0.9,0.28136,0.00094,0.10789,0.50301,0.0027,0.00043,0.00078,0.52393,0.0056,1.0,0.00466,0.003,0.00157,10
0.67757,0.00762,0.01,0.93816,0.00075,3.00249,0.79852,7.45938,0.53852,1.496,0.01141,0.70254,0.28906,0.00196,0.11516,0.36365,0.00083,0.0,0.0,0.54568,0.00778,0.99719,0.0,0.00295,0.00024,9
0.68199,0.00879,0.01018,0.98,0.00099,2.67232,0.81542,5.6972,0.8086,1.36963,0.01275,0.76603,0.28883,0.00159,0.16675,0.42652,0.00904,0.0,0.00023,0.54266,0.0046,0.99668,0.00152,0.00031,0.00191,10
0.6102,0.01,0.01039,0.95019,0.00097,2.75776,0.92927,7.68705,0.31377,1.47028,0.00894,0.74473,0.32276,0.00164,0.11825,0.32069,0.00901,0.001,0.00239,0.49483,0.00029,0.97207,0.0003,0.00033,0.00035,10
0.59856,0.01,0.01,0.90179,0.001,2.17753,0.76227,10.45597,0.35869,1.69025,0.00938,0.76298,0.46107,1e-05,0.14657,0.39939,0.00092,0.001,9e-05,0.58179,0.0087,1.0,0.00303,0.00115,0.00162,10
0.68642,0.00753,0.01,0.9257,0.00027,2.72619,0.80238,6.43983,0.55283,1.76321,0.01957,0.71503,0.29421,0.0,0.08778,0.62651,0.00106,0.0,0.00118,0.46994,0.00485,1.0,0.00334,0.00446,0.0018,7
0.65388,0.00821,0.01015,0.94672,0.00052,2.12728,0.78051,6.46891,0.65773,1.34918,0.01373,0.76625,0.28786,0.00188,0.09588,0.40568,0.01008,0.001,0.00444,0.5229,0.0037,1.0,0.0,0.00277,0.00645,8
0.67242,0.0052,0.01,0.95195,0.00052,2.92831,0.80206,6.61145,0.8585,1.70085,0.01334,0.61164,0.24971,0.00119,0.12979,0.4452,0.00928,0.0,0.00024,0.51028,0.00713,0.77746,3e-05,0.00205,0.00154,10
0.63534,0.00705,0.01003,0.95966,0.00073,2.47556,0.95,5.58572,0.4782,1.30982,0.01218,0.73736,0.40986,0.00126,0.13235,0.51326,0.01208,0.001,5e-05,0.43473,0.0067,1.0,0.00041,0.00289,0.00108,9
0.74134,0.00576,0.01003,0.95434,0.00053,2.75662,0.75707,6.36071,1.01485,1.49172,0.01929,0.55297,0.55124,0.00066,0.11282,0.52907,0.01342,0.0,0.00283,0.47183,0.00673,0.83851,0.00242,0.00408,0.00109,6
0.70147,0.00904,0.01126,0.95576,0.00046,2.44299,0.74225,8.21184,0.4925,1.46036,0.01737,0.61921,0.38328,0.00045,0.11161,0.50439,0.01247,0.0,0.00148,0.46348,0.00102,0.90933,0.00049,0.0045,0.00058,10
0.66887,0.00733,0.01039,0.94342,0.00076,2.63109,0.81585,5.97165,1.13226,1.43698,0.0122,0.76718,0.51371,0.00047,0.11534,0.54826,0.00662,0.001,0.0025,0.5092,0.0,0.83423,0.00257,0.00265,0.00223,9
